@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {classifierData/cachorro,classifierData/gato,classifierData/onca}

@DATA
0.020636,0.027642,2.914207,0.084199,0.161541,0.066515,0.015993,0.028265,-32.128615,2.540488,-0.836454,0.265315,-0.269338,0.241758,0.188952,0.208570,0.109131,-0.057253,0.054279,0.127780,0.017025,0.010476,0.005746,0.053241,0.006728,0.045070,0.009060,0.071815,0.003531,0.003373,0.006591,0.030878,0.005738,0.033047,0.010048,0.054486,0.280816,0.022588,0.027626,0.076428,0.011919,0.015300,3.377847,0.656424,0.651891,0.346446,0.300771,0.258826,0.210144,0.196857,0.195906,0.207082,0.170092,0.167590,0.154809,0.011466,0.006855,0.040262,0.007135,0.032405,0.010704,0.061916,0.005435,0.003292,0.005474,0.026142,0.008388,0.014404,classifierData/cachorro
0.014427,0.000391,2.695340,0.054751,0.084364,0.103056,0.004470,0.012061,-45.750850,0.929652,-0.086677,0.115681,-0.050524,0.037381,-0.023421,0.057748,0.067721,0.055813,0.061422,0.049584,-0.018725,0.003909,0.001346,0.021718,0.002427,0.121907,0.001867,0.026426,0.000673,0.002594,0.007129,0.005661,0.001416,0.040871,0.006857,0.001117,0.101974,0.011040,0.012845,0.059173,0.004176,0.010977,1.242006,0.223344,0.200007,0.109782,0.114178,0.081707,0.095039,0.085034,0.081213,0.078458,0.077297,0.065625,0.061291,0.003173,0.001567,0.019184,0.002245,0.016185,0.002004,0.020372,0.000911,0.002227,0.005980,0.004562,0.001746,0.005870,classifierData/cachorro
0.137767,0.003490,2.928549,0.194910,0.157575,1.390146,0.007777,0.221886,-27.339633,2.205062,-1.471970,0.172894,-0.471192,-0.346096,0.091085,-0.081937,-0.095606,0.110880,-0.097960,-0.153913,-0.220381,0.023435,0.012459,0.012128,0.008041,0.009754,0.012127,0.013409,0.005477,0.010177,0.019970,0.024379,0.019743,0.013781,0.023588,0.002989,0.248544,0.020789,0.024778,0.187188,0.003913,0.031105,1.695633,0.564682,0.460797,0.323971,0.278798,0.206592,0.211258,0.163381,0.162150,0.163621,0.138183,0.129267,0.139001,0.016673,0.010620,0.008199,0.005105,0.006484,0.010239,0.011199,0.004607,0.006906,0.012911,0.019955,0.020092,0.005291,classifierData/cachorro
0.037863,0.051077,2.977943,0.077348,0.120797,0.057393,0.020657,0.058787,-27.404838,1.077538,-2.869557,-0.232731,-0.940855,-0.092232,0.048643,0.194236,0.402688,0.268654,-0.312634,0.067847,0.054445,0.025993,0.020097,0.012628,0.008622,0.007898,0.007006,0.007348,0.008463,0.007665,0.007052,0.009739,0.018382,0.012920,0.008367,0.071420,0.492292,0.023445,0.040584,0.058768,0.062468,0.008049,5.352128,0.503645,0.628342,0.258205,0.382972,0.258338,0.162122,0.206974,0.153698,0.175931,0.139314,0.172993,0.166198,0.025045,0.016109,0.008101,0.009875,0.014296,0.004713,0.004837,0.005805,0.005370,0.006164,0.005631,0.014508,0.006906,classifierData/cachorro
0.024525,0.017306,2.908708,0.095616,0.168274,0.049413,0.019856,0.035771,-29.104816,1.635292,-1.645022,0.146877,-0.222103,0.345764,0.387900,0.137619,0.020878,-0.175837,0.038822,0.285850,0.043524,0.005072,0.004662,0.040577,0.006771,0.034029,0.020951,0.108864,0.003551,0.003133,0.003039,0.006860,0.004303,0.039164,0.008833,0.028118,0.271040,0.020876,0.027330,0.035128,0.015846,0.015373,3.324646,0.600726,0.892309,0.329662,0.286399,0.220916,0.201891,0.216602,0.188235,0.213438,0.174147,0.159243,0.153492,0.005290,0.007259,0.045604,0.007427,0.031683,0.025618,0.086902,0.003478,0.003598,0.002793,0.006069,0.005469,0.021790,classifierData/cachorro
0.021130,0.024643,3.092138,0.067708,0.115706,0.051109,0.012693,0.029868,-30.740870,1.819553,-1.535106,-0.253350,-0.693681,-0.295720,-0.176824,0.047870,0.225562,0.335426,-0.168284,-0.322574,-0.084234,0.032616,0.034591,0.007643,0.003126,0.041006,0.003855,0.007139,0.003281,0.005682,0.005897,0.016958,0.013653,0.026898,0.005449,0.020704,0.176469,0.024827,0.041798,0.026152,0.019054,0.008000,2.888237,0.536398,0.446733,0.237363,0.230771,0.179294,0.232236,0.222518,0.219979,0.170696,0.189960,0.204975,0.139755,0.030122,0.032436,0.007472,0.002739,0.015828,0.004608,0.011233,0.003275,0.004952,0.006711,0.015543,0.012921,0.009031,classifierData/cachorro
0.036697,0.008997,3.123061,0.088963,0.146703,0.126942,0.006479,0.054434,-31.887529,1.510843,-1.173678,0.238874,-0.251198,0.174034,0.211932,0.174016,0.141461,-0.054615,-0.017693,0.007721,-0.016207,0.012010,0.011077,0.038077,0.011487,0.015582,0.010072,0.047979,0.006384,0.008457,0.008991,0.017595,0.007417,0.020047,0.007436,0.006327,0.163161,0.015784,0.026256,0.070003,0.003449,0.011344,1.804199,0.517638,0.584704,0.320480,0.283490,0.216220,0.281037,0.219225,0.279341,0.229951,0.209673,0.196588,0.192772,0.009554,0.011633,0.027247,0.010031,0.013016,0.009899,0.038862,0.007627,0.008684,0.007273,0.014164,0.006759,0.010209,classifierData/cachorro
0.023919,0.004870,2.853577,0.105606,0.187488,0.098404,0.021146,0.025676,-35.073251,2.051722,-0.859114,-0.003039,0.408684,0.424973,0.045363,-0.148763,0.229433,0.061977,-0.050363,0.096823,0.033435,0.002768,0.001375,0.045192,0.002499,0.048001,0.004681,0.143376,0.003688,0.004646,0.006305,0.011657,0.008328,0.049270,0.015251,0.012137,0.283241,0.025549,0.033557,0.119134,0.017693,0.024498,3.007859,0.561283,0.865948,0.429479,0.340009,0.319162,0.277674,0.281649,0.255175,0.196803,0.211899,0.176929,0.177305,0.004005,0.002538,0.047473,0.004105,0.040019,0.008193,0.104237,0.006740,0.008191,0.008241,0.012002,0.014309,0.023863,classifierData/cachorro
0.031097,0.025039,2.693709,0.089501,0.156409,0.199142,0.023329,0.043637,-28.899798,2.966948,-1.154527,-1.198505,-0.252276,-0.273651,0.041459,0.542454,0.143813,0.226798,-0.140089,0.073684,-0.300197,0.037134,0.022127,0.025880,0.013857,0.012599,0.008221,0.018459,0.003714,0.004862,0.007887,0.018736,0.026301,0.022698,0.013508,0.039158,0.522683,0.031369,0.038829,0.233573,0.014564,0.026251,4.284381,0.822636,0.888726,0.341447,0.437161,0.316506,0.289211,0.292470,0.261979,0.183270,0.288958,0.278842,0.189770,0.037842,0.019861,0.017606,0.018708,0.010299,0.009057,0.044228,0.004124,0.006560,0.009302,0.024754,0.038240,0.014901,classifierData/cachorro
0.051697,0.005905,3.024387,0.142499,0.205026,0.306376,0.005134,0.071960,-32.610373,2.212333,-0.986478,0.189693,-0.228178,0.117236,0.044058,0.079052,0.123525,0.058759,-0.099615,0.065366,0.024590,0.014822,0.010714,0.032179,0.013112,0.021722,0.010339,0.023978,0.004465,0.008221,0.014893,0.029002,0.009403,0.015366,0.022962,0.015058,0.345336,0.040109,0.035373,0.330244,0.002442,0.065939,3.346310,0.426664,0.656962,0.293739,0.321530,0.257191,0.201898,0.218657,0.186824,0.203662,0.234236,0.195540,0.177390,0.009509,0.011883,0.023624,0.009554,0.015249,0.008527,0.017717,0.003911,0.006086,0.010095,0.019222,0.008750,0.006287,classifierData/cachorro
